‖央视频道‖,#genre#
CCTV-1综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv1hd_4000.m3u8
CCTV-2财经,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv2hd_4000.m3u8
CCTV-3综艺,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv3hd_4000.m3u8
CCTV-4国际,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv4_4000.m3u8
CCTV-5体育,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv5hd_4000.m3u8
CCTV-6电影,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv6hd_4000.m3u8
CCTV-7军事,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv7hd_4000.m3u8
CCTV-8电视剧,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv8hd_4000.m3u8
CCTV-9纪录,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv9hd_4000.m3u8
CCTV-10科教,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv10hd_4000.m3u8
CCTV-11戏曲,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv11_4000.m3u8
CCTV-12社会与法,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv12hd_4000.m3u8
CCTV-13新闻,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv13_4000.m3u8
CCTV-14少儿,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv14hd_4000.m3u8
CCTV-15音乐,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv15_4000.m3u8
CCTV-17农村农业,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv17_4000.m3u8
CCTV-5+体育赛事,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv5plushd_4000.m3u8
CCTV-4K超高清,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ys4kcq_4000.m3u8
CETV-1,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cetv_4000.m3u8
CETV-4,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zhms_4000.m3u8
CETV-早期教育,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zqjy_4000.m3u8
CHC-高清电影,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/chchd_4000.m3u8
CHC-动作电影,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/chcdzdy_4000.m3u8
CHC-家庭影院,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/chcjtyy_4000.m3u8
‖卫视频道‖,#genre#
湖南卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hnwshd_4000.m3u8
浙江卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zjwshd_4000.m3u8
东方卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dfwshd_4000.m3u8
江苏卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jswshd_4000.m3u8
安徽卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ahwshd_4000.m3u8
重庆卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cqwshd_4000.m3u8
北京卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/bjwshd_4000.m3u8
天津卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/tjwshd_4000.m3u8
辽宁卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lnwshd_4000.m3u8
江西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jxwshd_4000.m3u8
黑龙江卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hljwshd_4000.m3u8
山东卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sdwshd_4000.m3u8
云南卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ynws_4000.m3u8
四川卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/scwshd_4000.m3u8
康巴卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/kbws_4000.m3u8
河南卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hnws_4000.m3u8
广东卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gdwshd_4000.m3u8
深圳卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/szwshd_4000.m3u8
湖北卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hbwshd_4000.m3u8
东南卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dnwshd_4000.m3u8
厦门卫视,http://cstvpull.live.wscdns.com/live/xiamen4.flv
河北卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hbws_4000.m3u8
吉林卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jlws_4000.m3u8
广西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gxws_4000.m3u8
山西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/shanxws_4000.m3u8
陕西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sxws_4000.m3u8
内蒙古卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/nmgws_4000.m3u8
宁夏卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/nxws_4000.m3u8
西藏卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/xzws_4000.m3u8
新疆卫视,
甘肃卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gsws_4000.m3u8
海南卫视,
贵州卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gzwshd_4000.m3u8
青海卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/qhws_4000.m3u8
安多卫视,
兵团卫视,
海峡卫视,
珠江卫视,
南方卫视,
‖港台频道‖,#genre#
台湾丨華 視HD,http://341697390.r.fdccdn.net/live/tw_huashi_hd.m3u8
台湾丨民 視HD,http://341697390.r.fdccdn.net/live/tw_minshi_hd.m3u8
台湾丨台 視HD,http://341697390.r.fdccdn.net/live/tw_taishi_hd.m3u8
台湾丨公 視HD,http://341697390.r.fdccdn.net/live/tw_gongshi_hd.m3u8
台湾丨中 視HD,http://341697390.r.fdccdn.net/live/tw_zhongshi_hd.m3u8
台湾丨民視新聞台,http://341697390.r.fdccdn.net/live/tw_minshixinwen.m3u8
台湾丨中視經典台,http://341697390.r.fdccdn.net/live/tw_zhongshi_jd.m3u8
台湾丨TVBS HD,http://341697390.r.fdccdn.net/live/tw_tvbs.m3u8
台湾丨TVBS 新聞台,http://341697390.r.fdccdn.net/live/tw_tvbsn_hd.m3u8
台湾丨TVBS 歡樂台,http://341697390.r.fdccdn.net/live/tw_tvbsg_hd.m3u8
台湾丨八大第一台,http://341697390.r.fdccdn.net/live/tw_badadiyi.m3u8
台湾丨八大戲劇台,http://341697390.r.fdccdn.net/live/tw_badaxiju.m3u8
台湾丨八大娛樂台,http://341697390.r.fdccdn.net/live/tw_badayule.m3u8
台湾丨八大綜合台,http://341697390.r.fdccdn.net/live/tw_badazonghe.m3u8
台湾丨三立都會台,http://341697390.r.fdccdn.net/live/tw_sanliduhui.m3u8
台湾丨三立台灣台,http://341697390.r.fdccdn.net/live/tw_sanlitaiwan.m3u8
台湾丨三立綜合台,http://341697390.r.fdccdn.net/live/tw_sanlizonghe.m3u8
台湾丨東森綜合台,http://341697390.r.fdccdn.net/live/tw_dongsen_zh.m3u8
台湾丨東森幼幼台,http://341697390.r.fdccdn.net/live/tw_dongsen_yy.m3u8
台湾丨東森戲劇台,http://341697390.r.fdccdn.net/live/tw_dongsen_xj.m3u8
台湾丨東森電影台,http://341697390.r.fdccdn.net/live/tw_dongsen_dy.m3u8
台湾丨東森新聞台,http://341697390.r.fdccdn.net/live/tw_dongsen_xw.m3u8
