地方频道,#genre#
北京新闻频道,http://39.134.135.124/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226437/1.m3u8
北京财经频道,http://39.134.135.124/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226560/1.m3u8
北京生活频道,http://39.134.135.124/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226561/1.m3u8
北京青年频道,http://39.134.135.124/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226562/1.m3u8
北京文艺频道,http://39.134.135.82/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226440/1.m3u8
北京影视频道,http://39.134.135.82/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226486/1.m3u8
北京卡酷少儿,http://39.134.134.88/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226558/1.m3u8
黑龙江都市频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226090/index.m3u8
黑龙江影视频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226061/index.m3u8
黑龙江文体频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226044/index.m3u8
黑龙江少儿频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226070/index.m3u8
黑龙江公共农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226050/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226093/index.m3u8
哈尔滨新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8
哈尔滨娱乐频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225759/index.m3u8
哈尔滨影视频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225760/index.m3u8
哈尔滨生活频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225762/index.m3u8
哈尔滨资讯频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8
七台河新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226003/index.m3u8
七台河公共频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226006/index.m3u8
杭州综合频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8
杭州明珠频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
杭州生活频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
杭州影视频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8
杭州青少体育,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8
福建电视剧,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226115/10000100000000060000000002358067_0.smil
福建综合频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226826/47882539.smil
福建新闻频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
福建经济频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226117/10000100000000060000000002358072_0.smil
福建少儿频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226120/10000100000000060000000002358082_0.smil
福建体育频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226127/10000100000000060000000002434540_0.smil
福建乡村公共,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226113/10000100000000060000000002358064_0.smil
福建旅游频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226125/10000100000000060000000002358191_0.smil
