央视频道,#genre#
CCTV-1 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226834/48356507.smil
CCTV-2 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226655/40417429.smil
CCTV-4 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226633/40417241.smil
CCTV-5 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226679/42006696.smil
CCTV-7 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226645/40426612.smil
CCTV-9 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226637/40417257.smil
CCTV-10 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226718/40417274.smil
CCTV-11 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil
CCTV-12 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226659/40417266.smil
CCTV-13 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil
CCTV-14 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226641/40418077.smil
CCTV-15 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil
CCTV-5+ HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226714/40417236.smil
CETV-1 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226661/42185071.smil
卫视频道,#genre#
黑龙江卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226087/10000100000000060000000002296926_0.smil
湖南卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil
浙江卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226040/10000100000000060000000002296881_0.smil
东方卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil
江苏卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil
海南卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil
贵州卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil
北京卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil
山东卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226090/10000100000000060000000002296928_0.smil
广东卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226089/10000100000000060000000002296927_0.smil
湖北卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226091/10000100000000060000000002296929_0.smil
东南卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil
河南卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226076/10000100000000060000000002296917_0.smil
河北卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226111/10000100000000060000000002310153_0.smil
云南卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226108/10000100000000060000000002310150_0.smil
海峡卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
天津卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226636/42187434.smil
辽宁卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226665/42187546.smil
江西卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226687/42186801.smil
四川卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226806/45949301.smil
安徽卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226802/45932221.smil
重庆卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226753/45949735.smil
吉林卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226792/48616745.smil
深圳卫视 HD,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000159.m3u8
山西卫视 HD,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000166.m3u8
山西卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226842/48628662.smil
深圳卫视 HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225938/index.m3u8
厦门卫视 HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8
厦门卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil
陕西卫视 HD,http://61.151.179.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
陕西卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226110/10000100000000060000000002310152_0.smil
甘肃卫视 HD,http://39.134.39.37/PLTV/88888888/224/3221226240/index.m3u8
甘肃卫视 HD,http://39.134.39.39/270000001322/69900158041111100000002160/index.m3u8
甘肃卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226796/48628784.smil
广西卫视 HD,http://39.130.206.132:6410/gitv_live/G_GUANGXI-HD/G_GUANGXI-HD.m3u8
广西卫视 HD,rtsp://112.50.242.148/PLTV/88888888/224/3221226070/10000100000000060000000002296911_0.smil
内蒙古卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226800/48628913.smil
宁夏卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226075/10000100000000060000000002296916_0.smil
青海卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226078/10000100000000060000000002296920_0.smil
西藏卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226808/48629336.smil
新疆卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226846/48629048.smil
兵团卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226804/48628997.smil
南方卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226788/48356344.smil
三沙卫视,rtsp://112.50.242.148/PLTV/88888888/224/3221226819/57526516.smil
三沙卫视,http://112.50.243.8/PLTV/88888888/224/3221227002/1.m3u8
康巴卫视,http://112.50.243.8/PLTV/88888888/224/3221225856/1.m3u8
云南卫视 HD,http://39.130.206.132:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
黑龙江卫视 HD,http://221.179.217.9/PLTV/88888888/224/3221226498/1.m3u8
